Model,Jam,Temperature,Humidity,Rain,Wind
ICON,10:00am,29.4°C,73%,0.1mm,
ICON,01:00pm,29.7°C,73%,,
ICON,04:00pm,28.0°C,81%,,
ICON,07:00pm,25.1°C,93%,0.5mm,
ICON,10:00pm,24.3°C,93%,0 mm,
GFS,10:00am,29.4°C,65%,0 mm,
GFS,01:00pm,29.0°C,70%,1.3mm,Gusts
GFS,04:00pm,25.7°C,85%,2.2mm,
GFS,07:00pm,24.8°C,88%,,
GFS,10:00pm,23.9°C,93%,1.3mm,
ECMWF,10:00am,29.4°C,73%,0 mm,
ECMWF,01:00pm,29.7°C,73%,0.2mm,
ECMWF,04:00pm,27.8°C,79%,0.3mm,
ECMWF,07:00pm,27.6°C,82%,0 mm,
ECMWF,10:00pm,27.1°C,83%,0 mm,
