Model,Jam,Temperature,Humidity,Rain,Wind
ICON,10:00am,26.3°C,76%,,
ICON,01:00pm,25.9°C,84%,1.6mm,
ICON,04:00pm,23.9°C,92%,,
ICON,07:00pm,22.3°C,96%,0.1mm,Gusts
ICON,10:00pm,22.0°C,98%,,
GFS,10:00am,28.7°C,64%,0.4mm,
GFS,01:00pm,25.7°C,80%,0.9mm,
GFS,04:00pm,24.0°C,89%,0.5mm,Gusts
GFS,07:00pm,22.0°C,96%,0 mm,
GFS,10:00pm,21.5°C,97%,0 mm,
ECMWF,10:00am,26.8°C,73%,0.3mm,Gusts
ECMWF,01:00pm,24.1°C,84%,0.4mm,Gusts
ECMWF,04:00pm,23.6°C,89%,0 mm,Gusts
ECMWF,07:00pm,21.9°C,98%,0 mm,Gusts
ECMWF,10:00pm,21.8°C,98%,0 mm,Gusts
