Model,Jam,Temperature,Humidity,Rain,Wind
ICON,10:00am,28.9°C,75%,,
ICON,01:00pm,29.7°C,72%,,
ICON,04:00pm,28.0°C,78%,0 mm,
ICON,07:00pm,24.5°C,94%,,
ICON,10:00pm,24.1°C,89%,0 mm,Gusts
GFS,10:00am,30.2°C,64%,0 mm,
GFS,01:00pm,30.3°C,63%,0.1mm,
GFS,04:00pm,27.8°C,76%,0.1mm,Gusts
GFS,07:00pm,26.1°C,81%,0 mm,Gusts
GFS,10:00pm,25.7°C,80%,0 mm,Gusts
ECMWF,10:00am,28.8°C,76%,0 mm,
ECMWF,01:00pm,29.5°C,73%,0 mm,
ECMWF,04:00pm,28.9°C,77%,,
ECMWF,07:00pm,27.8°C,82%,0.2mm,
ECMWF,10:00pm,27.5°C,83%,0 mm,
