Model,Jam,Temperature,Humidity,Rain,Wind
ICON,07:00pm,26.1°C,90%,0 mm,
ICON,10:00pm,24.9°C,94%,,
ICON,10:00am,30.0°C,70%,,
ICON,01:00pm,29.2°C,75%,2.6mm,
ICON,04:00pm,27.7°C,81%,,
ICON,07:00pm,25.3°C,95%,0 mm,Gusts
ICON,10:00pm,24.6°C,96%,,
ICON,10:00am,29.6°C,71%,,
ICON,01:00pm,29.7°C,74%,0 mm,
ICON,04:00pm,28.2°C,78%,,
ICON,07:00pm,25.9°C,94%,,
ICON,10:00pm,24.9°C,96%,,
ICON,10:00am,29.5°C,71%,,
ICON,01:00pm,29.8°C,72%,,
ICON,04:00pm,28.4°C,76%,,
ICON,07:00pm,24.7°C,94%,,
ICON,10:00pm,24.1°C,97%,,
GFS,07:00pm,24.3°C,94%,5.2mm,Gusts
GFS,10:00pm,23.5°C,93%,5.2mm,Gusts
GFS,10:00am,27.5°C,68%,0 mm,Gusts
GFS,01:00pm,26.7°C,78%,0 mm,Gusts
GFS,04:00pm,26.1°C,80%,0.3mm,Gusts
GFS,07:00pm,25.0°C,85%,0.4mm,Gusts
GFS,10:00pm,24.7°C,84%,0 mm,Mean wind speed 10min
GFS,10:00am,30.2°C,62%,0 mm,Gusts
GFS,01:00pm,29.0°C,71%,1.9mm,Gusts
GFS,04:00pm,25.8°C,84%,2.2mm,Gusts
GFS,07:00pm,25.0°C,86%,1.4mm,Mean wind speed 10min
GFS,10:00pm,24.1°C,93%,0.8mm,Gusts
GFS,10:00am,29.8°C,64%,0 mm,
GFS,01:00pm,29.2°C,70%,1.4mm,
GFS,04:00pm,26.3°C,83%,,
GFS,07:00pm,25.2°C,87%,,
GFS,10:00pm,24.3°C,90%,2.3mm,
ECMWF,04:00pm,27.4°C,85%,0 mm,Gusts
ECMWF,07:00pm,27.1°C,86%,0 mm,
ECMWF,10:00pm,26.3°C,91%,0 mm,
ECMWF,10:00am,29.5°C,72%,0 mm,Gusts
ECMWF,01:00pm,27.4°C,82%,3.0mm,
ECMWF,04:00pm,27.7°C,84%,0.3mm,Gusts
ECMWF,07:00pm,27.8°C,79%,0 mm,Gusts
ECMWF,10:00pm,26.5°C,89%,0 mm,
ECMWF,10:00am,29.2°C,76%,,
ECMWF,01:00pm,29.1°C,78%,0 mm,
ECMWF,04:00pm,29.0°C,74%,0 mm,
ECMWF,07:00pm,28.5°C,82%,0 mm,
ECMWF,10:00pm,27.7°C,84%,0 mm,
