Model,Jam,Temperature,Humidity,Rain,Wind
ICON,07:00pm,25.2°C,95%,0.3mm,
ICON,10:00pm,24.5°C,95%,0 mm,
ICON,10:00am,29.8°C,70%,,
ICON,01:00pm,29.4°C,72%,0.3mm,
ICON,04:00pm,27.4°C,83%,,
ICON,07:00pm,25.6°C,92%,0.1mm,
ICON,10:00pm,24.9°C,95%,,
ICON,10:00am,28.5°C,81%,0.4mm,
ICON,01:00pm,28.7°C,79%,,
ICON,04:00pm,27.0°C,88%,,
ICON,07:00pm,25.9°C,92%,,
ICON,10:00pm,25.2°C,93%,0 mm,
ICON,10:00am,29.6°C,73%,,
ICON,01:00pm,29.0°C,77%,,
ICON,04:00pm,27.2°C,85%,,
ICON,07:00pm,25.0°C,96%,,
ICON,10:00pm,24.4°C,93%,,
GFS,07:00pm,25.1°C,87%,1.4mm,Gusts
GFS,10:00pm,24.7°C,87%,0 mm,Gusts
GFS,10:00am,29.7°C,67%,0.3mm,
GFS,01:00pm,29.5°C,69%,1.1mm,
GFS,04:00pm,26.7°C,82%,3.0mm,Gusts
GFS,07:00pm,25.4°C,85%,2.4mm,Mean wind speed 10min
GFS,10:00pm,24.5°C,88%,2.7mm,Gusts
GFS,10:00am,28.7°C,69%,0 mm,Mean wind speed 10min
GFS,01:00pm,27.0°C,81%,1.3mm,
GFS,04:00pm,25.1°C,87%,2.1mm,Gusts
GFS,07:00pm,23.7°C,92%,1.1mm,Gusts
GFS,10:00pm,24.0°C,89%,0.4mm,Gusts
GFS,10:00am,26.8°C,71%,0 mm,Mean wind speed 10min
GFS,01:00pm,26.5°C,74%,0 mm,
GFS,04:00pm,26.2°C,79%,0.3mm,
GFS,07:00pm,23.6°C,91%,,
GFS,10:00pm,24.0°C,87%,,
ECMWF,10:00pm,27.3°C,81%,0 mm,
ECMWF,10:00am,29.1°C,72%,0 mm,
ECMWF,01:00pm,28.2°C,79%,1.3mm,Gusts
ECMWF,04:00pm,26.9°C,87%,0 mm,Gusts
ECMWF,07:00pm,27.2°C,86%,0 mm,
ECMWF,10:00pm,26.8°C,90%,0 mm,
ECMWF,10:00am,28.8°C,74%,0 mm,
ECMWF,01:00pm,28.4°C,76%,0 mm,
ECMWF,04:00pm,28.7°C,78%,0 mm,
ECMWF,07:00pm,28.5°C,78%,0 mm,
ECMWF,10:00pm,26.9°C,88%,0 mm,
